
CNY000000TOD,D,20150312,9.76,9.76,9.69,9.7402,12342000
CNYRUBTODTOM,D,20150312,0.0031,0.003129,0.003,0.003,5200000
CNYRUB_TOM,D,20150312,9.7508,9.765,9.6412,9.765,130597000
CNYRUB_TOM1D,D,20150312,0.00825,0.0111,0.00825,0.0111,142300000
EUR000TODTOM,D,20150312,0.027,0.0273,0.0253,0.0253,2061200000
EURRUB_SPT,D,20150312,64.707,64.707,64.707,64.707,140000
EURRUB_TOM1M,D,20150312,,,,,
EURRUB_TOM1W,D,20150312,,,,,
EURRUB_TOM2W,D,20150312,,,,,
EURUSD000TOD,D,20150312,1.05855,1.06365,1.0584,1.06365,13792000
EURUSD000TOM,D,20150312,1.0558,1.0683,1.0558,1.0636,156009000
EURUSDTODTOM,D,20150312,0.000009,0.00001,-0.000009,-0.000009,184200000
EUR_RUB__TOD,D,20150312,65.059,65.059,64.274,64.699,216207000
EUR_RUB__TOM,D,20150312,65.17,65.17,64.125,65.17,234642000
GBPRUB_TOM,D,20150312,91.22,91.58,90.5,90.86,383000
HKDRUB_TOM,D,20150312,,,,,
KZT000000TOM,D,20150312,33,33,33,33,1210000
UAH000000TOM,D,20150312,29.154,29.154,29.154,29.154,463000
USD000000TOD,D,20150312,61.652,61.652,60.265,61.1,1030667000
USD000TODTOM,D,20150312,0.025,0.026,0.0237,0.0247,6156300000
USD000UTSTOM,D,20150312,61.459,61.459,60.282,61.19,3255574000
USDRUB_SPT,D,20150312,,,,,
USDRUB_TOM1D,D,20150312,,,,,
USDRUB_TOM1M,D,20150312,0.72,0.72,0.712,0.712,20000000
USDRUB_TOM1W,D,20150312,0.1685,0.1685,0.167,0.167,2400000
USDRUB_TOM1Y,D,20150312,,,,,
USDRUB_TOM2M,D,20150312,,,,,
USDRUB_TOM2W,D,20150312,0.326,0.326,0.326,0.326,1000000
USDRUB_TOM3M,D,20150312,2.09,2.09,2.09,2.09,10000000
USDRUB_TOM6M,D,20150312,,,,,
USDRUB_TOM9M,D,20150312,,,,,
BYRRUB_TOD,D,20150313,40.2,41.2,40.2,41.2,63000000
BYRRUB_TOM,D,20150313,,,,,
CNY000000TOD,D,20150313,9.8,9.8041,9.751,9.7591,9852000
CNYRUBTODTOM,D,20150313,0.010032,0.010032,0.008,0.008,1700000
CNYRUB_TOM,D,20150313,9.8152,9.8152,9.68,9.81,136386000
CNYRUB_TOM1D,D,20150313,0.0027,0.00333,0.00241,0.00333,134500000
EUR000TODTOM,D,20150313,0.0771,0.0771,0.0746,0.0762,2138000000
EURRUB_SPT,D,20150313,64.396,64.396,64.396,64.396,75000
EURRUB_TOM1M,D,20150313,,,,,
EURRUB_TOM1W,D,20150313,,,,,
EURRUB_TOM2W,D,20150313,,,,,
EURUSD000TOD,D,20150313,1.0575,1.063,1.05675,1.05675,16220000
EURUSD000TOM,D,20150313,1.0576,1.06325,1.0467,1.0495,88657000
EURUSDTODTOM,D,20150313,0.000023,0.000035,0.000001,0.000001,220700000
